Entry	Function [CC]	Protein names	Gene names	Organism	Status	Entry name	Annotation
P52413	FUNCTION: Carrier of the growing fatty acid chain in fatty acid biosynthesis.	Acyl carrier protein 3, chloroplastic (ACP)	ACL1.3 ACP1-3	Cuphea lanceolata (Cigar flower)	reviewed	ACP3_CUPLA	3 out of 5
P53142	FUNCTION: May be involved in vacuolar protein sorting. {ECO:0000269|PubMed:12134085}.	Vacuolar protein sorting-associated protein 73	VPS73 YGL104C G3090	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	reviewed	VPS73_YEAST	3 out of 5
